Festival Name
Ugadi Pachadi Preparation
Tirupati Brahmotsavam
Chandana Yatra
Poleramma Jathara
Lumbini Festival
Sama-Chakeva
Jivitputrika (Jitiya)
Bihula
Saurath Sabha
Budha Mahotsava
Bastar Dussehra
Goncha Festival
Bhoramdeo Mahotsav
Madai Festival
Cherchera
Shigmo
Sao Joao
Bonderam
Chikal Kalo
Touxeachem Fest
Vautha Mela
Rathwa Ni Gher
Champa Shashti
Tarnetar Fair
Bhavnath Mahadev Mela
Solung
Losar
Nyokum
Dree Festival
Mopin
Mim Kut
Chapchar Kut
Pawl Kut
Thalfavang Kut
Khuangchawi
Shirui Lily Festival
Lai Haraoba
Heikru Hidongba
Chumpha Festival
Gang-Ngai
Aoling Festival
Moatsu Festival
Tuluni Festival
Sekrenyi Festival
Lui-Ngai-Ni
Wangala Festival
Shad Suk Mynsiem
Behdeinkhlam
Nongkrem Dance
Chad Sukra
Losar
Saga Dawa
Pang Lhabsol
Tendong Lho Rum Faat
Kagyed Dance
Ali-Aye-Ligang
Baikho Festival
Dehing Patkai Festival
Rongker
Jonbeel Mela
Garia Puja
Ker Puja
Kharchi Puja
Mamita Festival
Buisu Festival
Gugga Naumi
Gugga Mela
Sitabari Fair
Gopal-Mochan Fair
Teej (Haryanvi style)
Minjar Fair
Halda Festival
Phagli Festival
Renuka Fair
Mandi Shivratri
Kheer Bhawani Mela
Tulip Festival
Hemis Tsechu
Gurez Festival
Dosmoche Festival
Sarhul
Karma Festival
Jani Shikar
Baha Parab
Tusu Parab
Yakshagana Harake Seva
Kambala
Karaga Festival
Pattadakal Dance Festival
Tula Sankramana
Puli Kali
Theyyam
Attukal Pongala
Muthappan Festival
Chakyar Koothu
Bhagoria Haat
Lokrang Festival
Malwa Utsav
Karma Festival
Ameer Khan Festival
Dahi Handi
Maharashtra Day
Wari Pilgrimage
Banganga Festival
Shigmo Festival
Sume Gelirak
Rath Yatra of Baripada
Kandhei Jatra
Chhau Festival
Dhanu Yatra
Basant Panchami
Roshni Festival
Baba Sodal Mela
Chhapar Mela
Maghi Mela
Dhinga Gavar
Mewar Festival
Sheetala Ashtami
Baneshwar Fair
Kaila Devi Fair
Thaipusam
Pongal Jallikattu
Aadi Perukku
Mahamaham Festival
Natyanjali Festival
Bonalu
Sammakka Saralamma Jatara
Bathukamma
Nagoba Jatra
Komuravelli Mallanna Festival
Kajari Teej
Braj Holi
Dev Deepawali
Saifai Mahotsav
Ganga Dussehra
Kandali Festival
Harela
Bissu Mela
Phool Dei
Uttarayani Mela
Tusu Festival
Jalpesh Mela
Gajan Festival
Bhadu Festival
Jhapan Festival
